name,image,cost,gender
Essential Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-3563-1303-112_life1,$56,M
Essential Crew Sweatshirt,https://img.abercrombie.com/is/image/anf/KIC_122-3146-0194-112_prod1,$48,M
Essential Half-Zip Sweatshirt,https://img.abercrombie.com/is/image/anf/KIC_122-4250-00281-112_prod1,$56,M
Essential Cinched Sweatpant,https://img.abercrombie.com/is/image/anf/KIC_134-5063-00109-122_life1,$56,M
Essential Baggy Open-Hem Sweatpant,https://img.abercrombie.com/is/image/anf/KIC_134-5046-00060-122_life1,$56,M
Essential Cropped Full-Zip Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5417-00052-112_life1,$64,M
Essential Straight Open-Hem Sweatpant,https://img.abercrombie.com/is/image/anf/KIC_134-5135-00079-122_life1,$56,M
Essential Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-3560-1305-136_prod1,$56,M
Essential Baggy Open-Hem Sweatpant,https://img.abercrombie.com/is/image/anf/KIC_134-5056-00064-136_model1,$56,M
Essential Cropped Full-Zip Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5601-00083-136_model1,$64,M
Essential Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-3572-1296-900_prod1,$48,M
Premium Heavyweight 2.0 Tee,https://img.abercrombie.com/is/image/anf/KIC_124-5073-00408-900_model1,$35,M
Essential Cinched Sweatpant,https://img.abercrombie.com/is/image/anf/KIC_134-5160-00059-900_model1,$48,M
Essential Cropped Full-Zip Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5687-00070-900_model1,$56,M
Essential Baggy Open-Hem Sweatpant,https://img.abercrombie.com/is/image/anf/KIC_134-5047-00061-900_life1,$48,M
Classic Polished Tee,https://img.abercrombie.com/is/image/anf/KIC_124-4009-0136-900_model1,$19,M
Essential Straight Open-Hem Sweatpant,https://img.abercrombie.com/is/image/anf/KIC_134-5099-00078-900_prod1,$48,M
Essential Half-Zip Sweatshirt,https://img.abercrombie.com/is/image/anf/KIC_122-5442-00923-900_model1,$52,M
Essential Crew Sweatshirt,https://img.abercrombie.com/is/image/anf/KIC_122-5791-01196-900_prod1,$44,M
Essential Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-3167-1436-906_model1,$56,M
Essential Short,https://img.abercrombie.com/is/image/anf/KIC_128-5020-00118-903_model1,$50,M
Essential Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-4458-00631-408_prod1,$64,M
A&F Essential Pet Pupover,https://img.abercrombie.com/is/image/anf/KIC_112-5190-00096-426_prod1,$30,M
Essential Short,https://img.abercrombie.com/is/image/anf/KIC_128-5171-00066-436_model1,$50,M
Essential Baggy Open-Hem Sweatpant,https://img.abercrombie.com/is/image/anf/KIC_134-5050-00062-436_prod1,$56,M
Essential Cinched Sweatpant,https://img.abercrombie.com/is/image/anf/KIC_134-5148-00129-436_prod1,$35,M
Essential Half-Zip Sweatshirt,https://img.abercrombie.com/is/image/anf/KIC_122-5570-01116-408_prod1,$42.50,M
Essential Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-4182-00387-200_life1,$48,M
Essential Crew Sweatshirt,https://img.abercrombie.com/is/image/anf/KIC_122-5585-01065-200_model1,$44,M
Essential Cinched Sweatpant,https://img.abercrombie.com/is/image/anf/KIC_134-5070-00113-200_model1,$48,M
Essential Half-Zip Sweatshirt,https://img.abercrombie.com/is/image/anf/KIC_122-5444-00925-200_model1,$52,M
Essential Short,https://img.abercrombie.com/is/image/anf/KIC_128-5187-00078-200_prod1,$50,M
Essential Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5453-00894-530_model1,$48,M
Essential Cinched Sweatpant,https://img.abercrombie.com/is/image/anf/KIC_134-5086-00121-400_model1,$48,M
Essential Baggy Open-Hem Sweatpant,https://img.abercrombie.com/is/image/anf/KIC_134-5048-00063-400_model1,$48,M
Essential Crew Sweatshirt,https://img.abercrombie.com/is/image/anf/KIC_122-5428-00910-400_prod1,$44,M
Essential Straight Open-Hem Sweatpant,https://img.abercrombie.com/is/image/anf/KIC_134-5146-00091-400_model1,$30,M
Essential Half-Zip Sweatshirt,https://img.abercrombie.com/is/image/anf/KIC_122-5618-01154-420_model1,$52,M
Essential Short,https://img.abercrombie.com/is/image/anf/KIC_128-5149-00058-400_model1,$50,M
Essential Cropped Full-Zip Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-5596-00072-420_model1,$56,M
90s Straight Jean,https://img.abercrombie.com/is/image/anf/KIC_131-5017-00270-275_model1,$80,M
Essential Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-4267-00394-112_prod1,$64,M
90s Straight Jean,https://img.abercrombie.com/is/image/anf/KIC_131-5138-00009-278_model1,$80,M
Premium Heavyweight Cropped Tee,https://img.abercrombie.com/is/image/anf/KIC_124-5084-00406-900_model1,$35,M
Premium Heavyweight 2.0 Tee,https://img.abercrombie.com/is/image/anf/KIC_124-5168-00438-130_model1,$40,M
Baggy Jean,https://img.abercrombie.com/is/image/anf/KIC_131-4135-00179-900_model1,$90,M
90s Straight Jean,https://img.abercrombie.com/is/image/anf/KIC_131-2414-2411-975_life1,$80,M
Relaxed Essential Tee,https://img.abercrombie.com/is/image/anf/KIC_124-1681-1007-900_model1,$19,M
Essential Popover Hoodie,https://img.abercrombie.com/is/image/anf/KIC_122-4329-00495-412_model1,$35,M
A&F Go-To Athletic Fit Pant,https://img.abercrombie.com/is/image/anf/KIC_130-4102-00073-400_prod1,$64,M
Relaxed Essential Tee,https://img.abercrombie.com/is/image/anf/KIC_124-1621-0915-100_model1,$19,M
Classic Polished Tee,https://img.abercrombie.com/is/image/anf/KIC_124-4009-0136-100_model1,$19,M
The A&F Collins Classic Linen-Blend Blazer,https://img.abercrombie.com/is/image/anf/KIC_132-5018-00094-412_model1,$160,M
The A&F Collins Linen-Blend Suit Pant,https://img.abercrombie.com/is/image/anf/KIC_130-5044-00126-412_model1,$100,M
Premium Heavyweight 2.0 Tee,https://img.abercrombie.com/is/image/anf/KIC_124-5002-00407-100_life1,$35,M
